dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,test_indices_file,r2_score,mse,rmse,mae,mape,train_r2,test_r2,model,evaluation_method,suspicious,difficulty,pipeline_variant
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned__variant_05_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_cleaned.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_01_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,,0.0,[],,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_02_of_05.json,classification,Cancer Present,gradient_boosting,success,,,,,,428.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,1.0,['2:train_classification_model'],classification,0.9316,0.9089,0.0227,1710.0,"['Gene One', 'Gene Two']",/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled_test_indices.json,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_03_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_04_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled,classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled__variant_05_of_05.json,classification,Cancer Present,logistic,success,,0.8528,0.8592,0.8472,0.8531,428.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification__variant_01_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification__variant_02_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification__variant_03_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification__variant_04_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification__variant_05_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,,0.0,[],,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded__variant_01_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded__variant_02_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded__variant_03_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded__variant_04_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded__variant_05_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_encoded.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_encoded.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled__variant_01_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled__variant_02_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled__variant_03_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled__variant_04_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled__variant_05_of_05.json,classification,class,logistic,success,,0.5927,0.4465,0.5927,0.4693,4000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/fedesoriano_stellar-classification-dataset-sdss17/star_classification_scaled.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification_scaled.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data__variant_01_of_05.json,classification,diabetes,logistic,success,,0.9296,0.951,0.9151,0.9327,199.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data__variant_02_of_05.json,classification,diabetes,logistic,success,,0.9296,0.951,0.9151,0.9327,199.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data__variant_03_of_05.json,classification,diabetes,logistic,success,,0.9296,0.951,0.9151,0.9327,199.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data__variant_04_of_05.json,classification,diabetes,logistic,success,,0.9296,0.951,0.9151,0.9327,199.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/corrected_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data__variant_05_of_05.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,,0.0,[],,,,,,,,,,,,,,,,DeepSeek,Corrected (test_indices),False,easy,
