Rank,Dataset,Task Type,Best Variant,Model,Metric,Status,Target Column,Error
38,classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification,02_of_05,logistic,0.5982,success,class,
39,regression__easy__quantbruce_real-estate-price-prediction__Real estate,regression,01_of_05,linear,0.5828,success,Y house price of unit area,
40,classification__hard__hetulmehta_website-classification__website_classification,classification,01_of_05,logistic,0.5625,success,Category,
41,regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset,regression,01_of_05,linear,0.5351,success,target,
42,regression__mid__harlfoxem_housesalesprediction__kc_house_data,regression,01_of_05,linear,0.5299,success,sqft_lot15,
43,regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows,regression,01_of_05,linear,0.5172,success,KLF14_2,
44,regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data,regression,01_of_05,linear,0.4468,success,Price,
45,regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction,classification,01_of_05,logistic,0.3855,success,Airbags,
46,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification,01_of_05,logistic,0.2906,success,labels,
47,classification__hard__pashupatigupta_emotion-detection-from-text__tweet_emotions,classification,01_of_05,logistic,0.0003,success,content,
48,regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned,regression,01_of_05,svr,-0.0398,success,SalePrice,
49,classification__hard__abhishek14398_loan-dataset__loan,classification,01_of_05,naive_bayes,,failed,total_il_high_credit_limit,Input y contains NaN.
50,classification__hard__ddosad_ecommerce-customer-service-satisfaction__Customer_support_data,classification,01_of_05,naive_bayes,,failed,CSAT Score,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
51,classification__hard__jocelyndumlao_consumer-review-of-clothing-product__Consumer Review of Clothing Product__data_amazon.xlsx - Sheet1,classification,01_of_05,logistic,,failed,Durability,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
52,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification,01_of_05,logistic,,failed,"Paper Plane Design Framed Wall Hanging Motivational Office Decor Art Prints (8.7 X 8.7 inch) - Set of 4 Painting made up in synthetic frame with uv textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. This painting is ready to hang, you would be proud to possess this unique painting that is a niche apart. We use only the most modern and efficient printing technology on our prints, with only the and inks and precision epson, roland and hp printers. This innovative hd printing technique results in durable and spectacular looking prints of the highest that last a lifetime. We print solely with top-notch 100% inks, to achieve brilliant and true colours. Due to their high level of uv resistance, our prints retain their beautiful colours for many years. Add colour and style to your living space with this digitally printed painting. Some are for pleasure and some for eternal bliss.so bring home this elegant print that is lushed with rich colors that makes it nothing but sheer elegance to be to your friends and family.it would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings that are high definition hd graphic digital prints for home, office or any room.",Input contains NaN
53,classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots,classification,01_of_05,decision_tree,,failed,round_winner,"pos_label=1 is not a valid label. It should be one of ['CT', 'T']"
54,classification__mid__xhlulu_cpc-codes__titles,classification,01_of_05,,,success,,
55,classification__mid__yasserh_titanic-dataset__Titanic-Dataset,classification,01_of_05,logistic,,failed,Embarked,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
56,regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset,regression,01_of_05,linear,,failed,total_outstanding_orders,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
57,regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures,classification,01_of_05,decision_tree,,failed,TTTerritory,Input contains NaN
58,regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train,regression,01_of_05,ridge,,failed,SalePrice,"Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
59,regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression,01_of_05,linear,,failed,Returning.Visits,"could not convert string to float: '1,036'"
60,regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026,classification,01_of_05,logistic,,failed,garage,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
61,regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System,regression,01_of_05,linear,,failed,Class,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
62,regression__hard__taweilo_mba-admission-dataset__MBA,regression,01_of_05,linear,,failed,admission,Input contains NaN
63,regression__mid__CooperUnion_cardataset__data,regression,01_of_05,linear,,failed,MSRP,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
64,regression__mid__ranitsarkar01_porter-delivery-time-estimation__dataset,regression,01_of_05,linear,,failed,total_outstanding_orders,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
65,regression__mid__yasserh_uber-fares-dataset__uber,classification,01_of_05,logistic,,failed,passenger_count,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
