dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,train_r2,test_r2,rmse,mae,mse,r2_score,mape
classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets,classification__hard__prox37_twitter-multilabel-classification-dataset__mLabel_tweets.json,classification,labels,random_forest,success,,,,,,1985.0,288.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/hard/prox37_twitter-multilabel-classification-dataset/mLabel_tweets.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/model.pkl,4.0,"['1:load_csv', '1:get_column_info', '1:infer_data_types', '2:train_classification_model']",classification,0.9997,0.1144,0.8854,7936.0,"['ID', 'tweet']",/home/joshua/Code/ai_projects/amalia/backend/models/classification/model.pkl,,,,,,,
classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset,classification__hard__saurabhshahane_ecommerce-text-classification__ecommerceDataset.json,classification,"Paper Plane Design Framed Wall Hanging Motivational Office Decor Art Prints (8.7 X 8.7 inch) - Set of 4 Painting made up in synthetic frame with uv textured print which gives multi effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. This painting is ready to hang, you would be proud to possess this unique painting that is a niche apart. We use only the most modern and efficient printing technology on our prints, with only the and inks and precision epson, roland and hp printers. This innovative hd printing technique results in durable and spectacular looking prints of the highest that last a lifetime. We print solely with top-notch 100% inks, to achieve brilliant and true colours. Due to their high level of uv resistance, our prints retain their beautiful colours for many years. Add colour and style to your living space with this digitally printed painting. Some are for pleasure and some for eternal bliss.so bring home this elegant print that is lushed with rich colors that makes it nothing but sheer elegance to be to your friends and family.it would be treasured forever by whoever your lucky recipient is. Liven up your place with these intriguing paintings that are high definition hd graphic digital prints for home, office or any room.",logistic,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
classification__hard__shivamb_spam-url-prediction__url_spam_classification,classification__hard__shivamb_spam-url-prediction__url_spam_classification.json,classification,is_spam,logistic,success,,0.7968,0.6732,0.7047,0.6886,148303.0,2.0,True,/tmp/encoded_data.csv,/tmp/model.pkl,8.0,"['1:load_csv', '1:read_file_head', '1:validate_csv_structure', '2:handle_missing_values', '2:remove_duplicates', '2:encode_categorical', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets,classification__mid__andrewmvd_cyberbullying-classification__cyberbullying_tweets.json,classification,,,failed,"Index(['None'], dtype='object')",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots,classification__mid__christianlillelund_csgo-round-winner-classification__csgo_round_snapshots.json,classification,round_winner,decision_tree,failed,"pos_label=1 is not a valid label. It should be one of ['CT', 'T']",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__fedesoriano_heart-failure-prediction__heart,classification__mid__fedesoriano_heart-failure-prediction__heart.json,classification,,,failed,"keep must be either ""first"", ""last"" or False",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,logistic,success,,0.5982,0.447,0.5982,0.4794,100000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/fedesoriano_stellar-classification-dataset-sdss17/star_classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset,classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.json,classification,Class,logistic,success,,0.8704,0.8707,0.8704,0.8704,13611.0,7.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/nimapourmoradi_dry-bean-dataset-classification/Dry_Bean_Dataset_processed_renamed.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/model.logistic,6.0,"['1:load_csv', '1:infer_data_types', '2:handle_missing_values', '2:rename_columns', '3:train_classification_model', '4:evaluate_classification_model']",,,,,,,,,,,,,,
classification__mid__tanishqdublish_text-classification-documentation__df_file,classification__mid__tanishqdublish_text-classification-documentation__df_file.json,classification,,,failed,"Index([100], dtype='int64')",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__uciml_iris__Iris,classification__mid__uciml_iris__Iris.json,classification,Species,random_forest,success,,1.0,1.0,1.0,1.0,45.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Iris_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/classification/random_forest.pkl,12.0,"['1:load_csv', '1:infer_data_types', '1:get_column_info', '1:detect_missing_values', '1:validate_csv_structure', '1:handle_missing_values', '1:remove_duplicates', '1:encode_categorical', '1:split_dataset', '1:train_classification_model', '1:evaluate_classification_model', '1:get_classification_report']",,,,,,,,,,,,,,
classification__mid__uciml_pima-indians-diabetes-database__diabetes,classification__mid__uciml_pima-indians-diabetes-database__diabetes.json,classification,,,failed,"keep must be either ""first"", ""last"" or False",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__xhlulu_cpc-codes__titles,classification__mid__xhlulu_cpc-codes__titles.json,classification,,,failed,"Index(['all'], dtype='object')",,,,,,,,,,,,,,,,,,,,,,,,,
classification__mid__yasserh_titanic-dataset__Titanic-Dataset,classification__mid__yasserh_titanic-dataset__Titanic-Dataset.json,classification,Survived,logistic,failed,"Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data,regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data.json,regression,Price,linear,success,,,,,,94.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/easy/ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset/Mobile-Price-Prediction-cleaned_data.csv,/home/joshua/Code/ai_projects/amalia/backend/model/linear_regression_model,4.0,"['1:load_csv', '2:handle_missing_values', '2:remove_duplicates', '3:train_regression_model']",regression,,,0.1973,372.0,"['Ratings', 'RAM', 'ROM', 'Mobile_Size', 'Primary_Cam', 'Selfi_Cam', 'Battery_Power']",/home/joshua/Code/ai_projects/amalia/backend/model/linear_regression_model,0.4831,0.2858,17094.0315,8626.7143,292205913.1856,,
regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data,regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data.json,regression,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset,regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset.json,regression,,,failed,"Index(['all'], dtype='object')",,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__quantbruce_real-estate-price-prediction__Real estate,regression__easy__quantbruce_real-estate-price-prediction__Real estate.json,regression,,,failed,Workflow has no executable steps,,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,,,failed,add_column_headers: Provided column_names length does not match dataset columns,,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1),regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1).json,regression,,,failed,"Index(['None'], dtype='object')",,,,,,,,,,,,,,,,,,,,,,,,,
regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows,regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.json,regression,KLF14_2,linear,success,,,,,,104.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/easy/thedevastator_age-prediction-for-individuals-using-multi-omic/test_rows.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,1.3975,1.0866,1.953,0.5172,52.356
regression__easy__zubairdhuddi_linear-regression__test,regression__easy__zubairdhuddi_linear-regression__test.json,regression,y,linear,success,,,,,,300.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/easy/zubairdhuddi_linear-regression/test.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__easy__zubairdhuddi_linear-regression__test.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,3.0279,2.4134,9.1681,0.9891,12.9757
regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned,regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.json,regression,SalePrice,svr,success,,,,,,1460.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml/house_prices_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,80981.1703,55540.0192,6557949939.5246,-0.0398,32.1043
regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures,regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures.json,classification,TTTerritory,decision_tree,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train,regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train.json,regression,SalePrice,ridge,failed,"Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression__hard__bobnau_daily-website-visitors__daily-website-visitors.json,regression,,,failed,scale_features: No valid numeric columns found,,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction,regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction.json,regression,,,failed,"random_state must be an integer, array-like, a BitGenerator, Generator, a numpy RandomState, or None",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026,regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026.json,regression,garage,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__milanvaddoriya_old-car-price-prediction__car_price,regression__hard__milanvaddoriya_old-car-price-prediction__car_price.json,regression,car_prices_in_rupee,linear,failed,could not convert string to float: '12.20 Lakh',,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System,regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System.json,regression,Data_Value,ridge,failed,"Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__taweilo_mba-admission-dataset__MBA,regression__hard__taweilo_mba-admission-dataset__MBA.json,regression,admission,linear,failed,Input contains NaN,,,,,,,,,,,,,,,,,,,,,,,,,
regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse,regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.json,regression,Price(USD),linear,success,,,,,,3479.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/valakhorasani_tehran-house-prices-dataset/TehranHouse.csv,/home/joshua/Code/ai_projects/amalia/backend/models/tehran_house_regression_model.pkl,16.0,"['1:load_csv', '1:get_column_info', '1:infer_data_types', '1:get_basic_stats', '1:read_file_head', '1:validate_csv_structure', '1:detect_missing_values', '1:detect_duplicates', '1:add_column_headers', '1:analyze_csv', '2:add_noise', '2:generate_synthetic_data', '2:feature_selection', '2:dimensionality_reduction', '3:train_regression_model', '4:evaluate_regression_model']",,,,,,,,,,0.0026,0.0021,0.0,1.0,0.0
regression__mid__CooperUnion_cardataset__data,regression__mid__CooperUnion_cardataset__data.json,regression,MSRP,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset ,regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .json,classification,diagnosed_diabetes,decision_tree,success,,0.9996,0.9999,0.9994,0.9997,97297.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/alamshihab075_health-and-lifestyle-data-for-diabetes-prediction/Diabetes_and_LifeStyle_Dataset .csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__mid__alamshihab075_health-and-lifestyle-data-for-diabetes-prediction__Diabetes_and_LifeStyle_Dataset .pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,
regression__mid__camnugent_california-housing-prices__housing,regression__mid__camnugent_california-housing-prices__housing.json,regression,median_house_value,linear,failed,"Input X contains NaN.
LinearRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,,,,,,,,,,
regression__mid__harlfoxem_housesalesprediction__kc_house_data,regression__mid__harlfoxem_housesalesprediction__kc_house_data.json,regression,sqft_lot15,gradient_boosting,success,,,,,,21613.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/harlfoxem_housesalesprediction/kc_house_data.csv,/home/joshua/Code/ai_projects/amalia/backend/models/regression_model,10.0,"['1:load_csv', '1:read_file_head', '2:infer_data_types', '2:detect_missing_values', '2:detect_duplicates', '3:train_regression_model', '4:evaluate_regression_model', '4:calculate_residuals', '4:error_analysis', '4:save_evaluation_results']",,,,,,,,,,11700.6608,3269.0084,136905464.2146,0.8164,26.126
regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds,regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.json,regression,total_sales_price,ridge,success,,,,,,219703.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/hrokrin_the-largest-diamond-dataset-currely-on-kaggle/diamonds.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__mid__hrokrin_the-largest-diamond-dataset-currely-on-kaggle__diamonds.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,16162.9092,4382.1779,261239633.3307,0.6123,153.3673
regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan,regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.json,regression,RiskScore,ridge,success,,,,,,20000.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/mid/lorenzozoppelletto_financial-risk-for-loan-approval/Loan.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260420222508_3544cc31llama_final/models/regression__mid__lorenzozoppelletto_financial-risk-for-loan-approval__Loan.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",,,,,,,,,,1.9492,1.5056,3.7993,0.9372,3.0474
