type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage
single_family,,"This stunning New England Cape Cod-style home offers the rare combination of convenience and true Colorado serenity. Ideally located near I-25 and Woodmen, you can be anywhere in the city in minutes - yet the moment you arrive, you feel a peaceful world away. Set on a gorgeous 1.91-acre lot in Woodmen Valley, this property is zoned for horses with no HOA - an increasingly rare find this close to town. Dirt roads wind through the neighborhood, perfect for horseback riding, mountain biking, or quiet evening walks. With quick access to Highway 24 and west side parks and recreation, mountain escapes are effortless. Inside, warmth and character greet you at every turn. The kitchen features a charming eat-in banquette surrounded by windows, creating the feeling of dining in a treehouse as you overlook the peaceful meadow framed by majestic pines. Just steps away, the formal dining room opens to a spectacular Brazilian hardwood deck complete with a luxurious Jacuzzi hot tub, an entertainer's dream with sweeping views and unmatched privacy. The main-level living room is anchored by a wood-burning fireplace, custom built-in bookcases, rich wood beams, and a handcrafted mantel that adds timeless charm. A main-level primary suite offers comfort, privacy, and effortless single-level living - an increasingly rare and desirable feature. Upstairs, three additional bedrooms share a remodeled full bath. The walkout basement provides even more gathering space with a second wood-burning fireplace, plus a bonus room ideal for a home office, craft studio, or gym, plus a half bath. Laundry and generous storage round out the lower level. Outside, manicured lawns front and back create a park-like setting, with two storage sheds ready for tools, gear, or recreational toys, and enclosed raised vegetable beds. Close to everything. Zoned for horses. No HOA. Mountain views. Privacy. Character. This is the kind of property buyers wait years to find - and it won't last.",997000,3252.0,2.0,4.0,3.0,3.0,3.0,2.0
single_family,,"Charming Updated Cabin in the Heart of South Fork This beautifully updated one-story, 3-bedroom, 2-bath cabin sits on a paved road in the heart of South Fork. It is complete with a paved driveway and an attached two-car garage. Inside, you'll find spacious bedrooms, generous closet space, and plenty of storage throughout. The home has seen numerous upgrades, including a new metal roof in 2020, new flooring in 2019, fresh paint throughout in 2022, a fireplace insert (2019), and updated appliances- including refrigerator (2019), dishwasher(2021) and oven range (2020), new water heater (2020), 80 gallon holding tank for well (2025), and new carpet in all three bedrooms in 2019 as well as bathroom remodel (2024). Enjoy the convenience of an excellent shared well with a 50 GPM output and an 80-gallon pressure tank. Several storage sheds offer even more utility, and the property is framed by majestic 100-year-old blue spruce trees, providing natural beauty and privacy. This well-maintained home offers comfort, convenience, and charm in an ideal location-ready for year-round living or your Colorado getaway! Ideal for a short term rental prospect (subject to town caps).",475000,1501.0,1.0,3.0,2.0,1.0,2.0,2.0
single_family,,"Welcome to 3600 Kirkwood Lane in the heart of Johnstown, where comfort, functionality, and Colorado charm come together in a beautifully maintained home. You will appreciate the inviting curb appeal and well-kept exterior that set the tone for what's inside. Step through the front door to discover a light-filled interior with an open and welcoming layout perfect for everyday living. The main living area flows seamlessly into the dining space and kitchen, creating a central gathering place for family and friends. Large windows invite in abundant natural light and clear Rocky Mountain views. The kitchen offers generous counter space, ample cabinetry, and a functional design. Upstairs, you will find a sizable loft space. The spacious primary suite provides a private retreat and en-suite bath, while additional bedrooms offer flexibility for guests, a home office, or hobbies. The well-proportioned rooms ensure everyone has space to spread out. The backyard extends your living space outdoors, offering room to garden, play, or simply enjoy the Rocky Mountain views before heading out to enjoy the community outdoor pool. With its ideal location, functional layout, and move-in ready appeal, 3600 Kirkwood Lane presents a spectacular opportunity to enjoy the best of living in Johnstown.",545000,3268.0,2.0,4.0,4.0,2.0,3.0,2.0
land,,"Privacy, convenience and VIEWS from this tranquil 35 acre parcel located about a third of the way up Red Mountain Ranch. This is the true Colorado Rocky Mountain ranch lifestyle at its finest. Tucked away in the aspens, plenty of room for your horses, and easy proximity to the historic Town of Crested Butte, skiing at Crested Butte Mountain Resort, and all the fishing, hunting and recreating that this wonderful area has to offer. Red Mountain Ranch is a refined yet rustic gated community about 9 miles south of town. 1363 Red Mountain Ranch has driveway in place to the building site, nestled in a large grove of young aspens. Protected views of the surrounding peaks are yours to cherish forever. This generous parcel allows for your primary residence plus guest house, barn and corral. Bring your horses and your trail maps, as property owners get private access to boundless national forest lands.",715000,1962.0,2.0,3.0,2.0,2.0,2.0,2.0
single_family,,"Welcome to this beautiful, light-filled Park Hill home where timeless charm meets modern updates. Gleaming hardwood floors and sun-soaked spaces create an inviting, warm, and open atmosphere throughout. The kitchen is a true standout large, open, and thoughtfully designed with rich wood cabinetry, sleek quartz countertops, and stainless steel appliances, offering both style and function for everyday living and entertaining. Retreat to the primary bedroom with a walk-in closet and a spa-inspired en-suite bathroom featuring a soaking tub and floor-to-ceiling tile shower. A second full bathroom with a beautifully tiled shower serves the main floor and guests. The main floor also includes a second bedroom and a convenient linen closet. The fully finished basement adds flexible living space with a large family room, wet bar, third bedroom, additional full bath, laundry area, and ample storage perfect for guests, multigenerational living, or potential rental income. Step outside to a spacious, flat, fully fenced private backyard with a generous covered patio ideal for outdoor gatherings, play, or relaxation. Convenience is unmatched with a front carport and a detached 2-car garage built in 2019 with alley access. Located in one of Denvers most desirable neighborhoods, this home offers easy access to parks, trails, and green space, including City Park with its walking paths, lakes, the Denver Zoo, and the Denver Museum of Nature & Science. Tree-lined streets, local shops, cafes, and restaurants create a vibrant community while providing a quick commute to downtown Denver and surrounding amenities.",540000,1904.0,2.0,3.0,3.0,1.0,3.0,2.0
single_family,,"You can stop searching, this Henley has officially entered the chat, and its bringing its A-game! This like new home is all business in the front and party in the back! Inside, the main floor shines with durable wood plank laminate, a stunning kitchen built for both chefs and snackers, complete with a show-stopping island, sleek gray cabinets, and granite counters surrounding a full suite of upgraded Samsung Bespoke appliances (yes, even the washer and dryer made the style cut). Theres also a main-floor bedroom and ADA-compliant bathroom perfect for guests, an aging parent, or anyone who just loves avoiding stairs. Its not quite a mother-in-law suite or full multi-gen setup, but its impressively close! Step outside to the massive custom party deck featuring wrap-around seating, GAS firepit, and a 1212 storage shed big enough for your gear, projects, and we-might-need-this-someday collection. Upstairs, enjoy a versatile loft, a dreamy primary suite, and three additional bedrooms ready for rest, work, or play. With front yard landscaping, irrigation, sod, rock, A/C, a tankless water heater, and a smart home package, The Henley has it all. Style, check. Comfort, check. Why wait weeks or months for new construction to finish to have to pay more out of pocket for window coverings, landscaping, deck/patio, and storage? EVERYTHING you need is right here, day 1. Come and check it out!",565000,3705.0,2.0,5.0,3.0,2.0,3.0,2.0
single_family,,"Opportunity Knocks in Cherry Point! This west-facing brick ranch offers over 2, 600 square feet of living space on the main floor and endless potential in one of Southeast Denvers most coveted neighborhoods. The main level features four bedrooms, expansive living and dining areas, an eat-in kitchen, and convenient main-floor laundry. An oversized two-car garage with room for storage and mud room The finished basement adds flexibility with a fifth bedroom, bath, study, spacious family room, and a large utility/storage area. Enjoy outdoor living on the covered backyard patio, complete with a 15 x 3 storage roomperfect for outdoor equipment and seasonal items. Recent updates include a newer stone-coated steel roof, newer windows and a newer boiler. Cherry Point is known for its classic ranch-style homes on generous lots and offers easy access to the High Line Canal and a short walk to Happy Canyon Shopping Center. SHOWINGS START MONDAY AT 11AM",1000000,3980.0,1.0,5.0,4.0,1.0,3.0,2.0
multi_family,,"Appliance package included! Welcome to the Sand Dune at 3384 N Duquesne Way in The Aurora Highlands Landmark. This home is full of charm, with a sunlit kitchen, dining, and great room that celebrate Colorado's natural beauty. A flexible extra bedroom is perfect for guests, a quiet office, or a cozy craft space. Toward the back, the spacious primary suite offers a walk-in closet and a relaxing 4-piece bath. The laundry room is conveniently located on the main floor, making everyday living simple and smooth. At the front of the home, a secluded secondary bedroom and full bath create a welcoming retreat for visitors. Located in The Aurora Highlands, you'll enjoy a vibrant setting with scenic trails, an outdoor pool, onsite school, and future retail and dining. With its own E-470 entrance, this community puts you just 10 miles from DIA and close to downtown Denver and the Tech Center. Additional Highlights Include: Bedroom 3 in place of flex room. MLS#4543781",479349,1775.0,1.0,3.0,2.0,2.0,2.0,2.0
single_family,,"Welcome to this premier 2-story DR Horton home, perfectly situated in one of Arvadas most sought-after neighborhoods, Leyden Rock! With a prime location directly across from Daybreak Park & stunning mtn. views, this home combines beauty, comfort & convenience. Step inside to rich dark hardwood flooring & the inviting warmth of a gas stone fireplace, setting the tone for relaxation. The main level features a guest bdrm and an office/den, along w/ upgraded finishes throughout, including 8-ft entry & interior doors. The chefs kitchen impresses w/ upgraded tall cabinetry featuring soft-close doors & drawers, crown molding, under-cabinet lighting, a gas cooktop, pot filler, dual ovens, coffee bar, abundant counter space; perfect for cooking & gatherings. Upstairs, a spacious family/loft room offers addt'l living space for relaxation or play. The primary suite is a serene retreat complete w/ a generous sitting room & 2 large closets & ample storage. Second floor formal & finished laundry room w/ cabinet & shelf space, plus two additional bdrms connected by a Jack-n-Jill bath. Lrg. unfin. basement provides room to grow, plumbed for a future bath and ready for your customization. The 3-car tandem garage ensures ample parking & storage options. Enjoy breathtaking Colorado views from your cozy, S facing front porch, perfect for soaking up sunshine. The fenced backyard features an expanded flagstone patio with plenty of room for a firepit or hot tub, along with mature trees for added privacy. Garage is finished w/ insulation & drywall & epoxy floor. The paid-off solar panels keep electric bills to a minimum. Located in an amenity-rich community, youll enjoy access to 3 parks within walking or biking distance, 17 miles of hiking & biking trails, a community pool and clubhouse. The HOA hosts regular social events including food trucks, holiday gatherings, & movies in the park; something for all ages to enjoy. All of this is complemented by a highly rated school district.",949900,4616.0,2.0,4.0,4.0,3.0,4.0,3.0
single_family,,"Skip the wait for new construction and move right into this beautifully finished home by Oakwood Homes. Featuring 4 bedrooms, 3.5 bathrooms, a finished basement and a 3-car garage, this home is truly move-in ready and thoughtfully designed for the way you live! Whether youre working from home, entertaining friends, or simply relaxing at the end of the day, this home is functional in all aspects. The bright, open floor plan offers a welcoming great room with fireplace, spacious dining area, and a modern kitchen that blends style and function. Enjoy a large island with quartz countertops, abundant natural light, high end finishes and generous pantry spaceperfect for everyday meals or hosting gatherings. Upstairs features your spacious owners' suite with spa style en-suite bathroom, 2 additional bedrooms, guest bathroom a versatile loft that provides the perfect setup for a media area, playroom or office. The finished basement adds even more versatility with additional living space, a bedroom, and a full bathideal for guests or multi-generational living. Enjoy entreating in your back yard oasis with a covered patio and professionally landscaped yard. Residents enjoy access to the award-winning Reunion Recreation Center, featuring a fitness center, outdoor pool, and community events year-round. With miles of trails, parks, and convenient access to both downtown Denver and DIA, Reunion combines suburban comfort with easy city connectivity. Hurry and make this home yours today!",595000,3342.0,2.0,4.0,4.0,2.0,3.0,3.0
single_family,,"Welcome home to 43068 Ganton Club St., Elizabeth, Colorado in the Spring Valley Ranch community. This gorgeous ranch-style home features 4 bedrooms, 2 bathrooms, 3-car garage, and 1,7741 sq. ft. The main living area of this ranch style home features solid surface flooring throughout for easy maintenance. Three large bedrooms are situated in the front of the home including one bedroom with a huge walk-in closet and luxury bath. Enjoy entertaining in the spacious kitchen with a large built-in island and beautiful cabinetry. The backyard covered patio creates a great space to gather with friends and family. Situated on a corner lot, this home includes front and back yard landscaping, making move-in easy. Located in the highly desirable Spring Valley Ranch community, this move-in ready home is part of the Douglas County School District. The neighborhood offers a perfect balance of work, play, and everyday convenience, with green spaces, community parks, and scenic walking paths woven throughout the area. Residents enjoy quick access to E-470, Southlands Shopping Mall, and the charming town of Parker, CO, providing endless options for shopping, dining, entertainment, and daily essentials. From nearby hiking and biking trails to local art galleries, theaters, and restaurants, Spring Valley Ranch places you close to everything that makes living in Douglas County so desirable. Take a tour of this home today! *Estimated completion date: April 2026. *Photos are for representational purposes only; finishes may vary per home.",542235,1771.0,1.0,4.0,2.0,2.0,2.0,3.0
single_family,,"Nestled in a serene Red Hawk Community cul-de-sac within the award winning Jim Engh designed Golf Course, this 4 bedroom, 3.5 bath home is ready for you to enjoy. Step inside and youll immediately sense theres more to this home than meets the eye. Soaring ceilings and an open, light-filled living space create an airy first impression, while the staircase subtly anchors the heart of the home. Sunlight pours through expansive windows, dancing across warm luxury vinyl floors and into a dining space that feels both intimate and ready for celebration. Just beyond, a thoughtfully updated kitchen blends timeless cabinetry with sleek stainless finishes and a modern backsplash, inviting everything from quiet morning coffee to lively evening gatherings. The private backyard serves as a perfect oasis for relaxation, outdoor games, or letting your dog run freely. With numerous trees, mature landscaping, and a spacious patio, its an ideal spot for summer barbecues with family and friends. Upstairs, a serene primary retreat with vaulted ceilings and generous proportions offers a peaceful escape, along with a large walk-in closet, and a 5-piece bathroom. Additionally, you'll find two more bedrooms, and a full bath. The basement offers great room for games or movies, another bedroom, 3/4 bathroom and storage area. A 3-car garage allows space for more cars and toys. A newer furnace, A/C and water heater will give you piece of mind. This home also benefits from a lower tax rate compared to other Castle Rock neighborhoods, making it an exceptional find. You are less than 5 minutes away from over 20 miles of hiking/mountain biking on the Ridgeline Trail, the acclaimed MAC (Phillip S Miller Park) or the numerous restaurants and brew pubs of downtown Castle Rock. Easy access to I-25 and close to everything you could want from entertainment, shopping, nightlife, and the great outdoors. Don't miss one of Castle Rock's most desirable neighborhoods, schedule your private showing today!",629000,2873.0,2.0,4.0,4.0,2.0,3.0,3.0
single_family,,"Welcome to the Paris plan!. This two-story single-family home offers 1,552 square footage of living space, 2 bedrooms, 2.5 bathrooms, 2-car garage, an upper-level loft space, and a front porch.As you walk through the front door and into the entryway, youll find a powder room to your right and the main level to your left with a great room, dining space, and kitchen. The U-shaped kitchen offers a large center island and a pantry. At the back of the home, youll have a door to the 2-car garage, and a closet under the stairs to utilize as a coat closet or for storage. Heading up the stairs to the second level, youre greeted by a loft space perfect for a home office, theater room, kids play area, or any additional space your family needs. If you need a third bedroom, youll have the option to turn this loft into an additional bedroom with a closet. Positioned at the front of the home is the primary bedroom with their own private bathroom which features a double vanity, tiled shower, water closet, and walk-in closet. Central to the second floor, enjoy the convenience of having the laundry room on the same level as the bedrooms so you dont have to haul laundry downstairs. At the back of the home, youll have the second full bathroom and the second bedroom. If you dont need a second bedroom, youll have the option to turn this into a flex room.Schedule an appointment to see your future home at Parkway at Prairie Center Village!",399950,1552.0,2.0,2.0,3.0,2.0,2.0,2.0
single_family,,"Charming Manitou Springs Retreat with Garden of the Gods Views - No HOA! Welcome to your private mountain retreat in the heart of Manitou Springs. Nestled at the end of a safe cul-de-sac, this home offers stunning views, exceptional convenience, and a nearly half-acre lot with rare flat usability - all within walking distance to historic downtown. A timeless exterior of stone accents, wood shutters, and a natural green roof blends seamlessly with the mountain backdrop. Inside, warm character and Colorado style shine through, highlighted by a breathtaking floor-to-ceiling stone fireplace and expansive windows that bathe the home in natural light from sunrise to sunset. Wake up to iconic views of Garden of the Gods, stroll downtown for dinner and boutiques, or relax in your flat, fully usable backyard - a hard-to-find feature in Manitou Springs. And with easy, direct access to Highway 24, you'll enjoy all the benefits of mountain living without navigating steep hills in winter, making daily commuting and weekend adventures effortless. This rare property captures the essence of Manitou Springs: outdoor adventure, artistic energy, mountain beauty, and everyday convenience. With unmatched character, views, usable space, and freedom from HOA restrictions, this home delivers a Front Range lifestyle that's truly one of a kind. Your Colorado dream starts here.",699500,2288.0,2.0,3.0,3.0,3.0,3.0,2.0
single_family,,"Situated on a private, wooded 5-acre parcel, this property offers the serenity of country living with thoughtful improvements already in place. Surrounded by mature trees and natural beauty, you'll enjoy both privacy and usable land. Original owners converted a portion of the garage into flex space/bedroom, which includes a Murphy bed, closet, separate entrance and 2nd bathroom. A standout feature is the dual leach field system, offering added efficiency and long-term peace of mind - ideal for future expansion or added flexibility. Garden enthusiasts will appreciate the established 30 X 70 greenhouse, perfect for extending the growing season and cultivating your own organic harvest. With ample space for outdoor recreation, additional outbuildings, or simply enjoying Colorado's wide-open skies, this property is a rare find for those wanting acreage without sacrificing practicality.",425000,1490.0,2.0,2.0,2.0,2.0,2.0,1.0
