dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,r2_score,mse,rmse,mae,mape
classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__mid__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,class,random_forest,success,,0.9738,0.9737,0.9738,0.9737,20000.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/star_classification_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/star_classification_rf_model.pkl,9.0,"['1:read_file_head', '1:get_basic_stats', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset,classification__mid__nimapourmoradi_dry-bean-dataset-classification__Dry_Bean_Dataset.json,classification,,,failed,scale_features: No valid numeric columns found,,,,,,,,,,,,,,,,
classification__mid__tanishqdublish_text-classification-documentation__df_file,classification__mid__tanishqdublish_text-classification-documentation__df_file.json,classification,Label,random_forest,success,,1.0,1.0,1.0,1.0,2127.0,5.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/df_file_cleaned_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/text_classification_rf.pkl,10.0,"['1:read_file_head', '1:validate_csv_structure', '1:infer_data_types', '2:remove_duplicates', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix', '4:save_evaluation_results']",,,,,
classification__mid__uciml_iris__Iris,classification__mid__uciml_iris__Iris.json,classification,Species,random_forest,success,,1.0,1.0,1.0,1.0,150.0,3.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Iris_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/mid/uciml_iris/iris_rf_model.pkl,11.0,"['1:read_file_head', '1:get_basic_stats', '1:infer_data_types', '2:remove_duplicates', '2:encode_categorical', '2:split_dataset', '3:train_classification_model', '3:compare_models', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__mid__uciml_pima-indians-diabetes-database__diabetes,classification__mid__uciml_pima-indians-diabetes-database__diabetes.json,classification,Outcome,random_forest,success,,0.9453,0.9216,0.9216,0.9216,768.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/diabetes_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/diabetes_random_forest.pkl,9.0,"['1:load_csv', '1:get_basic_stats', '2:scale_features', '2:split_dataset', '3:train_classification_model', '3:compare_models', '4:evaluate_classification_model', '4:get_classification_report', '4:calculate_confusion_matrix']",,,,,
classification__mid__xhlulu_cpc-codes__titles,classification__mid__xhlulu_cpc-codes__titles.json,classification,class,random_forest,failed,Input y_true contains NaN.,,,,,,,,,,,,,,,,
classification__mid__yasserh_titanic-dataset__Titanic-Dataset,classification__mid__yasserh_titanic-dataset__Titanic-Dataset.json,classification,Embarked,random_forest,failed,train_classification_model: Target column 'Embarked' not found,,,,,,,,,,,,,,,,
regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data,regression__easy__ganjerlawrence_mobile-phone-price-prediction-cleaned-dataset__Mobile-Price-Prediction-cleaned_data.json,regression,Price,random_forest,success,,,,,,109.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Mobile-Price-Prediction-cleaned_data_cleaned_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/mobile_price_random_forest.pkl,5.0,"['1:remove_duplicates', '2:split_dataset', '3:train_regression_model', '4:evaluate_regression_model', '4:save_evaluation_results']",0.977,8020518.5517,2832.052,1183.0064,47.8197
regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data,regression__easy__govindaramsriram_crop-yield-of-a-farm__crop_yield_data.json,regression,crop_yield,random_forest,success,,,,,,600.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/crop_yield_data_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/easy/govindaramsriram_crop-yield-of-a-farm/random_forest_model.pkl,10.0,"['1:read_file_head', '1:get_basic_stats', '1:infer_data_types', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9997,6.8357,2.6145,2.0307,0.8415
regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset,regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset.json,regression,target,random_forest,success,,,,,,10000.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/practice_dataset_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__easy__nalisha_numerical-feature-based-target-prediction-using-ml__practice_dataset.pkl,9.0,"['1:read_file_head', '1:get_basic_stats', '2:split_dataset', '2:scale_features', '3:train_regression_model', '3:compare_models', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.992,42.962,6.5545,4.5243,25.3167
regression__easy__quantbruce_real-estate-price-prediction__Real estate,regression__easy__quantbruce_real-estate-price-prediction__Real estate.json,regression,Y house price of unit area,random_forest,success,,,,,,414.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Real estate_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__easy__quantbruce_real-estate-price-prediction__Real estate.pkl,7.0,"['1:read_file_head', '1:get_basic_stats', '2:split_dataset', '2:scale_features', '3:train_regression_model', '4:evaluate_regression_model', '4:save_evaluation_results']",0.9251,13.8294,3.7188,2.2928,6.6837
regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset,regression__easy__ranitsarkar01_porter-delivery-time-estimation__dataset.json,regression,total_outstanding_orders,random_forest,success,,,,,,39486.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/dataset_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/regression/total_outstanding_orders_rf_model.pkl,12.0,"['1:read_file_head', '1:detect_missing_values', '1:infer_data_types', '2:handle_missing_values', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9395,156.7146,12.5186,7.867,
regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1),regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1).json,regression,MEDV,random_forest,success,,,,,,506.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/Boston (1)_train.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__easy__sakshisatre_the-boston-housing-dataset__Boston (1).pkl,9.0,"['1:read_file_head', '1:get_basic_stats', '2:split_dataset', '2:scale_features', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9624,3.1724,1.7811,1.1325,5.8584
regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows,regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.json,regression,KLF14_2,random_forest,success,,,,,,104.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/easy/thedevastator_age-prediction-for-individuals-using-multi-omic/test_rows.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__easy__thedevastator_age-prediction-for-individuals-using-multi-omic__test_rows.pkl,4.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model', '3:save_evaluation_results']",0.7906,0.8469,0.9203,0.6149,28.2707
regression__easy__zubairdhuddi_linear-regression__test,regression__easy__zubairdhuddi_linear-regression__test.json,regression,y,linear,failed,Input file not found: /app/data/uploads/datasets/regression/easy/zubairdhuddi_linear-regression/test.csv_train.csv,,,,,,,,,,,,,,,,
regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned,regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.json,regression,SalePrice,svr,success,,,,,,1460.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml/house_prices_cleaned.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/batch_20260421194752_4aa8f940deepseek_final/models/regression__hard__anujsaha0123456789_house-prices-cleaned-dataset-for-regression-ml__house_prices_cleaned.pkl,3.0,"['1:load_csv', '2:train_regression_model', '3:evaluate_regression_model']",-0.0398,6557949939.5246,80981.1703,55540.0192,32.1043
regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures,regression__hard__bharatsahu_house-price-prediction-dataset-insurancehub-usa__House_price_multifeatures.json,classification,TTTerritory,decision_tree,failed,Input contains NaN,,,,,,,,,,,,,,,,
regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train,regression__hard__bjaton_housepricesadvancedregressiontechniquestrain__train.json,regression,SalePrice,gradient_boosting,failed,"Input X contains NaN.
GradientBoostingRegressor does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,
regression__hard__bobnau_daily-website-visitors__daily-website-visitors,regression__hard__bobnau_daily-website-visitors__daily-website-visitors.json,regression,,,failed,scale_features: No valid numeric columns found,,,,,,,,,,,,,,,,
regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction,regression__hard__deepcontractor_car-price-prediction-challenge__car_price_prediction.json,regression,Price,gradient_boosting,success,,,,,,19237.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/car_price_prediction_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/car_price_gradient_boosting.pkl,11.0,"['1:read_file_head', '1:load_csv', '2:handle_missing_values', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_regression_model', '3:compare_models', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9941,0.0059,0.0771,0.039,190.6779
regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026,regression__hard__kanchana1990_colorado-real-estate-market-2026__colorado_real_estate_2026.json,regression,garage,random_forest,success,,,,,,1673.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/colorado_real_estate_2026_encoded_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/models/colorado_garage_rf_model.pkl,11.0,"['1:read_file_head', '1:detect_missing_values', '1:infer_data_types', '2:handle_missing_values', '2:encode_categorical', '2:split_dataset', '3:train_regression_model', '3:get_feature_importance', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",-0.0675,3.2526,1.8035,0.4428,20.1147
regression__hard__milanvaddoriya_old-car-price-prediction__car_price,regression__hard__milanvaddoriya_old-car-price-prediction__car_price.json,regression,price,random_forest,failed,could not convert string to float: '12.20 Lakh',,,,,,,,,,,,,,,,
regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System,regression__hard__spittman1248_cdc-data-nutrition-physical-activity-obesity__Nutrition__Physical_Activity__and_Obesity_-_Behavioral_Risk_Factor_Surveillance_System.json,classification,Class,naive_bayes,failed,"Input X contains NaN.
GaussianNB does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values",,,,,,,,,,,,,,,,
regression__hard__taweilo_mba-admission-dataset__MBA,regression__hard__taweilo_mba-admission-dataset__MBA.json,classification,admission,random_forest,success,,1.0,1.0,1.0,1.0,139.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/MBA_scaled_train.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/mba_admission_model.pkl,10.0,"['1:load_csv', '1:detect_missing_values', '2:handle_missing_values', '2:encode_categorical', '2:scale_features', '2:split_dataset', '3:train_classification_model', '4:evaluate_classification_model', '4:get_classification_report', '4:save_evaluation_results']",,,,,
regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse,regression__hard__valakhorasani_tehran-house-prices-dataset__TehranHouse.json,regression,Price(USD),random_forest,success,,,,,,3271.0,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/regression/hard/valakhorasani_tehran-house-prices-dataset/TehranHouse_scaled.csv,/home/joshua/Code/ai_projects/amalia/backend/data/models/tehran_house_price_model.pkl,11.0,"['1:load_csv', '1:read_file_head', '2:remove_duplicates', '2:handle_missing_values', '2:encode_categorical', '2:scale_features', '3:train_regression_model', '3:cross_validate_model', '4:evaluate_regression_model', '4:calculate_residuals', '4:save_evaluation_results']",0.9998,16828758.3077,4102.287,446.8688,0.4582
